type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
M,298.1,308.6,1551,42.8,0,No Failure
L,298.2,308.7,1408,46.3,3,No Failure
L,298.2,308.7,1408,40.0,9,No Failure
M,298.1,308.6,1425,41.9,11,No Failure
L,298.1,308.6,1558,42.4,14,No Failure
L,298.1,308.6,1527,40.2,16,No Failure
M,298.3,308.7,1667,28.6,18,No Failure
H,298.4,308.9,1782,23.9,24,No Failure
H,298.6,309.1,1423,44.3,29,No Failure
L,298.6,309.2,1542,48.4,42,No Failure
M,298.6,309.2,1311,46.6,44,No Failure
M,298.7,309.2,1410,45.6,47,No Failure
H,298.8,309.2,1306,54.5,50,No Failure
L,298.8,309.3,1450,44.8,63,No Failure
M,299.0,309.4,1561,37.3,70,No Failure
L,299.0,309.5,1861,23.3,73,No Failure
L,299.1,309.5,1512,39.0,75,No Failure
H,299.1,309.4,1811,24.6,77,No Failure
L,299.1,309.4,1439,44.2,82,No Failure
L,299.0,309.4,1693,30.1,84,No Failure
M,299.1,309.5,1339,48.2,86,No Failure
L,299.0,309.4,1798,25.5,89,No Failure
L,299.0,309.4,1419,48.3,91,No Failure
L,298.9,309.3,1665,32.5,93,No Failure
M,298.8,309.2,1452,48.6,98,No Failure
M,298.9,309.2,1581,36.7,101,No Failure
L,298.8,309.1,1439,39.2,104,No Failure
H,298.9,309.2,1379,50.7,106,No Failure
L,298.8,309.1,1350,52.5,111,No Failure
L,298.8,309.1,1362,45.4,113,No Failure
L,298.8,309.1,1368,50.8,115,No Failure
M,298.8,309.1,1368,49.1,117,No Failure
H,298.8,309.2,1372,48.5,120,No Failure
M,298.8,309.1,1472,47.5,125,No Failure
L,298.8,309.1,1489,49.1,128,No Failure
M,298.7,309.0,1843,25.8,130,No Failure
L,298.8,309.1,1418,46.3,133,No Failure
H,298.8,309.2,1425,53.9,135,No Failure
L,298.9,309.1,1383,54.9,145,No Failure
H,298.8,309.0,1497,43.8,147,No Failure
L,298.7,309.0,1565,35.1,152,No Failure
L,298.8,309.1,1477,42.4,158,No Failure
L,298.8,309.1,1513,40.3,160,No Failure
M,298.8,309.0,1661,29.5,162,No Failure
L,298.8,309.1,1378,54.4,165,No Failure
L,298.8,309.1,1393,52.6,167,No Failure
L,298.8,309.0,1829,22.9,172,No Failure
L,299.0,309.1,1523,38.6,177,No Failure
L,299.0,309.1,1394,45.1,179,No Failure
M,298.9,308.9,1679,28.7,181,No Failure
H,298.8,308.9,1466,44.1,184,No Failure
L,298.8,308.9,1527,32.4,189,No Failure
L,298.9,309.0,1410,65.7,191,Power Failure
L,298.9,309.1,1452,45.5,196,No Failure
L,298.9,309.1,1369,44.4,198,No Failure
L,299.0,309.1,1592,35.0,200,No Failure
L,298.8,308.9,1455,41.3,208,Tool Wear Failure
L,298.8,308.9,1398,51.5,0,No Failure
L,298.8,308.9,1402,37.9,2,No Failure
H,298.8,308.8,1445,49.9,4,No Failure
L,298.9,308.9,1450,47.5,9,No Failure
L,298.9,308.9,1453,40.8,11,No Failure
L,299.0,309.0,1469,40.1,13,No Failure
H,299.0,309.0,1436,43.9,20,No Failure
L,299.0,309.0,1544,31.8,25,No Failure
M,298.9,308.9,1487,39.5,30,No Failure
L,298.9,308.9,1830,24.9,35,No Failure
M,298.9,308.9,1727,27.1,37,No Failure
L,299.0,308.9,1622,31.9,42,No Failure
M,299.0,309.0,1351,52.2,44,No Failure
M,299.0,309.0,1575,35.3,47,No Failure
L,298.9,308.8,1529,32.7,53,No Failure
L,298.8,308.8,1523,44.4,55,No Failure
L,298.8,308.8,1991,20.7,59,No Failure
M,298.8,308.8,1441,40.5,63,No Failure
L,298.8,308.7,1450,43.4,66,No Failure
L,298.8,308.7,1445,48.5,70,No Failure
M,298.8,308.8,1497,46.8,72,No Failure
H,298.9,308.8,1621,32.7,75,No Failure
L,298.9,308.7,1572,34.1,80,No Failure
H,298.7,308.6,1499,43.5,84,No Failure
M,298.8,308.7,1498,39.5,89,No Failure
L,298.8,308.6,1680,29.4,95,No Failure
L,298.9,308.7,1564,34.1,99,No Failure
L,298.8,308.6,1599,33.0,101,No Failure
M,298.8,308.6,1707,28.1,103,No Failure
L,298.7,308.5,1467,40.7,106,No Failure
L,298.9,308.7,1558,41.2,110,No Failure
L,298.9,308.7,1727,29.4,116,No Failure
L,299.0,308.6,1329,60.5,120,No Failure
L,298.9,308.6,1413,46.5,122,No Failure
L,299.0,308.6,1587,38.6,124,No Failure
L,298.8,308.4,1473,41.1,128,No Failure
L,298.8,308.4,1737,27.7,130,No Failure
M,298.7,308.4,1441,43.2,132,No Failure
L,298.8,308.4,1369,53.0,138,No Failure
M,298.8,308.5,1711,28.5,140,No Failure
H,298.7,308.5,1420,45.7,143,No Failure
L,298.8,308.6,1268,55.8,155,No Failure
L,298.8,308.6,1511,36.1,157,No Failure
H,298.6,308.4,1407,50.5,164,No Failure
