udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min
446,L47625,L,297.5,308.6,1793,26.7,70
7076,L54255,L,300.7,310.5,1536,47.4,192
1191,L48370,L,297.2,308.4,1460,42.1,41
2618,L49797,L,299.4,309.1,1670,35.9,68
5067,L52246,L,304.1,313.1,1550,30.9,9
191,L47370,L,298.2,308.4,1477,49.9,72
2601,L49780,L,299.3,309.0,1422,47.3,25
3300,L50479,L,301.3,310.5,1390,45.8,63
6729,L53908,L,301.5,310.9,1891,23.2,122
4824,L52003,L,303.5,311.9,1493,38.7,14
6848,L54027,L,301.2,311.4,1757,28.0,6
1238,M16097,M,297.1,308.4,1502,37.3,181
199,L47378,L,298.4,308.7,1588,35.0,99
3703,L50882,L,302.0,311.2,1434,44.9,15
6984,M21843,M,300.7,311.0,1334,53.9,150
3601,L50780,L,301.7,310.5,1523,34.7,181
1737,L48916,L,298.4,307.9,1544,35.9,132
6992,L54171,L,300.8,311.1,1509,33.4,172
9921,H39334,H,298.5,308.7,1450,43.9,28
5593,L52772,L,302.5,311.9,1437,46.7,65
2910,L50089,L,300.7,309.6,1500,44.1,122
8041,L55220,L,300.8,311.9,1498,39.3,23
8525,L55704,L,298.3,309.4,1468,46.2,10
4475,L51654,L,302.7,310.5,1563,35.0,8
7611,M22470,M,300.5,311.3,1507,43.4,41
2405,M17264,M,299.1,308.7,2008,20.3,178
9048,L56227,L,297.3,308.4,1488,37.4,69
146,L47325,L,298.5,308.4,1513,33.6,172
2049,L49228,L,299.3,309.2,1465,41.5,127
2964,M17823,M,300.7,309.6,1439,43.0,61
8868,L56047,L,297.9,308.9,1566,41.9,50
9211,M24070,M,297.9,309.0,2456,13.9,82
8598,L55777,L,297.6,308.3,1410,47.0,191
1123,L48302,L,296.5,307.6,1541,38.5,98
3894,L51073,L,302.3,311.2,1549,40.6,66
5175,M20034,M,304.2,313.5,1390,47.8,83
2477,H31890,H,298.9,308.4,1449,42.4,149
5531,M20390,M,302.3,311.8,1355,50.1,104
7916,H37329,H,300.8,312.1,1527,35.1,164
5441,H34854,H,303.0,312.5,1698,30.0,89
5764,H35177,H,301.8,311.2,1451,39.4,70
3779,M18638,M,302.4,311.1,1366,54.4,0
8844,H38257,H,297.3,308.8,1564,38.0,191
4227,L51406,L,302.1,310.8,1596,37.1,43
7525,L54704,L,300.2,311.5,1639,31.1,31
3002,L50181,L,300.5,309.8,1445,43.9,164
6076,L53255,L,301.0,310.9,1813,28.5,197
7154,L54333,L,300.2,310.0,1493,47.3,172
1108,M15967,M,296.7,307.5,1515,42.1,55
5754,L52933,L,302.2,311.6,1416,54.1,48
7020,L54199,L,300.8,310.8,1741,27.1,39
4094,M18953,M,302.0,310.5,1573,32.1,143
1552,L48731,L,298.4,308.8,1458,40.1,111
8607,M23466,M,297.5,308.4,1505,37.2,215
3913,L51092,L,302.4,311.4,1475,40.4,126
5295,L52474,L,303.9,313.4,1442,48.5,174
931,M15790,M,295.5,305.9,1453,47.3,9
130,L47309,L,298.9,308.5,1559,34.3,126
9041,L56220,L,297.3,308.3,1550,37.0,54
3420,L50599,L,301.5,310.5,1611,33.8,144
4347,L51526,L,301.8,309.7,1598,30.4,124
8329,L55508,L,298.6,309.5,1325,52.2,127
1288,L48467,L,298.5,309.6,1419,41.5,105
9931,L57110,L,298.3,308.3,1452,45.5,63
6441,L53620,L,300.6,310.2,1648,31.7,46
5052,L52231,L,303.9,313.0,1480,39.9,176
7960,L55139,L,301.0,312.1,1585,32.3,50
5127,L52306,L,304.3,313.5,1802,25.4,170
4137,L51316,L,301.7,310.1,1487,48.0,36
3481,L50660,L,301.9,310.8,1400,58.2,79
9585,L56764,L,299.3,310.5,1529,41.3,17
9976,M24835,M,298.6,308.3,1589,34.1,174
2828,L50007,L,300.4,309.4,1412,51.6,153
6088,M20947,M,300.9,310.8,1599,33.0,7
7696,L54875,L,300.6,311.7,1488,47.7,22
1580,L48759,L,298.3,308.3,1444,43.8,176
1571,L48750,L,298.2,308.4,1452,43.5,158
7750,L54929,L,300.4,311.6,1674,33.0,172
4831,L52010,L,303.5,312.0,1756,29.7,28
6951,H36364,H,300.7,311.3,1374,53.1,66
8367,M23226,M,298.9,309.8,1836,22.8,18
1799,M16658,M,298.0,307.5,1431,52.9,92
4199,M19058,M,302.4,311.1,1432,44.5,195
8046,M22905,M,300.7,311.9,1366,55.1,36
9150,M24009,M,297.5,308.6,1429,50.5,129
4538,L51717,L,302.3,310.2,1548,35.3,170
8352,M23211,M,298.7,309.6,1686,26.2,189
589,L47768,L,297.6,309.4,1628,33.4,229
3132,L50311,L,300.1,309.5,1660,32.7,57
2208,L49387,L,299.8,309.2,1591,37.5,109
2383,L49562,L,299.1,308.3,1601,31.4,121
6131,L53310,L,301.0,310.9,1473,44.2,116
4467,L51646,L,302.8,310.6,1470,41.1,205
5117,L52296,L,304.2,313.8,1401,53.9,142
6584,M21443,M,301.5,310.5,1503,38.2,200
1713,L48892,L,298.3,307.9,1551,33.8,72
2863,L50042,L,300.6,309.5,1867,23.0,242
5059,L52238,L,303.9,312.9,1526,42.5,194
5864,M20723,M,301.4,311.1,1758,25.4,88
9241,M24100,M,298.1,308.7,1362,49.6,158
9917,M24776,M,298.5,308.8,1553,34.9,18
3643,L50822,L,302.3,311.6,1309,57.6,77
7143,H36556,H,300.3,309.7,1452,41.5,139
62,M14921,M,298.8,309.0,1592,38.2,169
7385,L54564,L,299.7,310.4,1614,36.2,108
6687,L53866,L,301.7,311.0,1715,24.8,17
6700,M21559,M,301.7,310.8,1516,40.4,48
2850,L50029,L,300.4,309.3,1766,28.2,207
