udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
1,M14860,M,298.1,308.6,1551,42.8,0,No Failure
2,L47181,L,298.2,308.7,1408,46.3,3,No Failure
5,L47184,L,298.2,308.7,1408,40.0,9,No Failure
6,M14865,M,298.1,308.6,1425,41.9,11,No Failure
7,L47186,L,298.1,308.6,1558,42.4,14,No Failure
8,L47187,L,298.1,308.6,1527,40.2,16,No Failure
9,M14868,M,298.3,308.7,1667,28.6,18,No Failure
11,H29424,H,298.4,308.9,1782,23.9,24,No Failure
12,H29425,H,298.6,309.1,1423,44.3,29,No Failure
16,L47195,L,298.6,309.2,1542,48.4,42,No Failure
17,M14876,M,298.6,309.2,1311,46.6,44,No Failure
18,M14877,M,298.7,309.2,1410,45.6,47,No Failure
19,H29432,H,298.8,309.2,1306,54.5,50,No Failure
22,L47201,L,298.8,309.3,1450,44.8,63,No Failure
25,M14884,M,299.0,309.4,1561,37.3,70,No Failure
26,L47205,L,299.0,309.5,1861,23.3,73,No Failure
27,L47206,L,299.1,309.5,1512,39.0,75,No Failure
28,H29441,H,299.1,309.4,1811,24.6,77,No Failure
29,L47208,L,299.1,309.4,1439,44.2,82,No Failure
30,L47209,L,299.0,309.4,1693,30.1,84,No Failure
31,M14890,M,299.1,309.5,1339,48.2,86,No Failure
32,L47211,L,299.0,309.4,1798,25.5,89,No Failure
33,L47212,L,299.0,309.4,1419,48.3,91,No Failure
34,L47213,L,298.9,309.3,1665,32.5,93,No Failure
36,M14895,M,298.8,309.2,1452,48.6,98,No Failure
37,M14896,M,298.9,309.2,1581,36.7,101,No Failure
38,L47217,L,298.8,309.1,1439,39.2,104,No Failure
39,H29452,H,298.9,309.2,1379,50.7,106,No Failure
40,L47219,L,298.8,309.1,1350,52.5,111,No Failure
41,L47220,L,298.8,309.1,1362,45.4,113,No Failure
42,L47221,L,298.8,309.1,1368,50.8,115,No Failure
43,M14902,M,298.8,309.1,1368,49.1,117,No Failure
44,H29457,H,298.8,309.2,1372,48.5,120,No Failure
45,M14904,M,298.8,309.1,1472,47.5,125,No Failure
46,L47225,L,298.8,309.1,1489,49.1,128,No Failure
47,M14906,M,298.7,309.0,1843,25.8,130,No Failure
48,L47227,L,298.8,309.1,1418,46.3,133,No Failure
49,H29462,H,298.8,309.2,1425,53.9,135,No Failure
52,L47231,L,298.9,309.1,1383,54.9,145,No Failure
53,H29466,H,298.8,309.0,1497,43.8,147,No Failure
54,L47233,L,298.7,309.0,1565,35.1,152,No Failure
57,L47236,L,298.8,309.1,1477,42.4,158,No Failure
58,L47237,L,298.8,309.1,1513,40.3,160,No Failure
59,M14918,M,298.8,309.0,1661,29.5,162,No Failure
60,L47239,L,298.8,309.1,1378,54.4,165,No Failure
61,L47240,L,298.8,309.1,1393,52.6,167,No Failure
63,L47242,L,298.8,309.0,1829,22.9,172,No Failure
65,L47244,L,299.0,309.1,1523,38.6,177,No Failure
66,L47245,L,299.0,309.1,1394,45.1,179,No Failure
67,M14926,M,298.9,308.9,1679,28.7,181,No Failure
68,H29481,H,298.8,308.9,1466,44.1,184,No Failure
69,L47248,L,298.8,308.9,1527,32.4,189,No Failure
70,L47249,L,298.9,309.0,1410,65.7,191,Power Failure
72,L47251,L,298.9,309.1,1452,45.5,196,No Failure
73,L47252,L,298.9,309.1,1369,44.4,198,No Failure
74,L47253,L,299.0,309.1,1592,35.0,200,No Failure
78,L47257,L,298.8,308.9,1455,41.3,208,Tool Wear Failure
79,L47258,L,298.8,308.9,1398,51.5,0,No Failure
80,L47259,L,298.8,308.9,1402,37.9,2,No Failure
81,H29494,H,298.8,308.8,1445,49.9,4,No Failure
82,L47261,L,298.9,308.9,1450,47.5,9,No Failure
83,L47262,L,298.9,308.9,1453,40.8,11,No Failure
84,L47263,L,299.0,309.0,1469,40.1,13,No Failure
87,H29500,H,299.0,309.0,1436,43.9,20,No Failure
88,L47267,L,299.0,309.0,1544,31.8,25,No Failure
90,M14949,M,298.9,308.9,1487,39.5,30,No Failure
92,L47271,L,298.9,308.9,1830,24.9,35,No Failure
93,M14952,M,298.9,308.9,1727,27.1,37,No Failure
95,L47274,L,299.0,308.9,1622,31.9,42,No Failure
96,M14955,M,299.0,309.0,1351,52.2,44,No Failure
97,M14956,M,299.0,309.0,1575,35.3,47,No Failure
99,L47278,L,298.9,308.8,1529,32.7,53,No Failure
100,L47279,L,298.8,308.8,1523,44.4,55,No Failure
102,L47281,L,298.8,308.8,1991,20.7,59,No Failure
104,M14963,M,298.8,308.8,1441,40.5,63,No Failure
105,L47284,L,298.8,308.7,1450,43.4,66,No Failure
107,L47286,L,298.8,308.7,1445,48.5,70,No Failure
108,M14967,M,298.8,308.8,1497,46.8,72,No Failure
109,H29522,H,298.9,308.8,1621,32.7,75,No Failure
110,L47289,L,298.9,308.7,1572,34.1,80,No Failure
112,H29525,H,298.7,308.6,1499,43.5,84,No Failure
113,M14972,M,298.8,308.7,1498,39.5,89,No Failure
115,L47294,L,298.8,308.6,1680,29.4,95,No Failure
117,L47296,L,298.9,308.7,1564,34.1,99,No Failure
118,L47297,L,298.8,308.6,1599,33.0,101,No Failure
119,M14978,M,298.8,308.6,1707,28.1,103,No Failure
120,L47299,L,298.7,308.5,1467,40.7,106,No Failure
122,L47301,L,298.9,308.7,1558,41.2,110,No Failure
125,L47304,L,298.9,308.7,1727,29.4,116,No Failure
127,L47306,L,299.0,308.6,1329,60.5,120,No Failure
128,L47307,L,298.9,308.6,1413,46.5,122,No Failure
129,L47308,L,299.0,308.6,1587,38.6,124,No Failure
131,L47310,L,298.8,308.4,1473,41.1,128,No Failure
132,L47311,L,298.8,308.4,1737,27.7,130,No Failure
133,M14992,M,298.7,308.4,1441,43.2,132,No Failure
135,L47314,L,298.8,308.4,1369,53.0,138,No Failure
136,M14995,M,298.8,308.5,1711,28.5,140,No Failure
137,H29550,H,298.7,308.5,1420,45.7,143,No Failure
140,L47319,L,298.8,308.6,1268,55.8,155,No Failure
141,L47320,L,298.8,308.6,1511,36.1,157,No Failure
144,H29557,H,298.6,308.4,1407,50.5,164,No Failure
145,M15004,M,298.6,308.4,1391,42.4,169,No Failure
148,L47327,L,298.4,308.4,1515,40.1,179,No Failure
149,M15008,M,298.3,308.3,1379,48.0,181,No Failure
151,L47330,L,298.4,308.3,1422,42.7,186,No Failure
153,M15012,M,298.4,308.2,1584,41.0,191,No Failure
154,L47333,L,298.4,308.2,1850,27.0,194,No Failure
155,L47334,L,298.4,308.2,1528,36.2,196,No Failure
156,H29569,H,298.4,308.2,1987,19.8,198,No Failure
157,M15016,M,298.4,308.1,1495,46.0,203,No Failure
159,M15018,M,298.4,308.2,1499,40.0,211,No Failure
160,L47339,L,298.4,308.2,1471,47.0,214,No Failure
161,L47340,L,298.4,308.2,1282,60.7,216,Overstrain Failure
162,L47341,L,298.3,308.1,1412,52.3,218,Overstrain Failure
163,L47342,L,298.3,308.1,1586,35.5,0,No Failure
164,M15023,M,298.4,308.2,1468,43.8,2,No Failure
165,M15024,M,298.5,308.3,1440,43.6,5,No Failure
166,L47345,L,298.5,308.4,1733,26.0,8,No Failure
167,H29580,H,298.4,308.2,1612,32.6,10,No Failure
168,H29581,H,298.4,308.3,1458,42.9,15,No Failure
170,L47349,L,298.4,308.3,1318,59.1,22,No Failure
