rowNumber,predictedValues
0,No Failure
1,Random Failures
2,No Failure
3,No Failure
4,No Failure
5,No Failure
6,No Failure
7,No Failure
8,No Failure
9,No Failure
10,No Failure
11,No Failure
12,No Failure
13,No Failure
14,No Failure
15,No Failure
16,No Failure
17,No Failure
18,Random Failures
19,Random Failures
20,No Failure
21,No Failure
22,No Failure
23,No Failure
24,No Failure
25,No Failure
26,No Failure
27,No Failure
28,No Failure
29,No Failure
30,No Failure
31,Power Failure
32,Random Failures
33,No Failure
34,No Failure
35,No Failure
36,Random Failures
37,No Failure
38,Random Failures
39,Random Failures
40,Random Failures
41,Heat Dissipation Failure
42,Random Failures
43,No Failure
44,No Failure
45,Random Failures
46,Tool Wear Failure
47,Random Failures
48,No Failure
49,Random Failures
50,No Failure
51,No Failure
52,No Failure
53,Tool Wear Failure
54,No Failure
55,Random Failures
56,No Failure
57,No Failure
58,No Failure
59,No Failure
60,No Failure
61,Random Failures
62,No Failure
63,No Failure
64,No Failure
65,Random Failures
66,No Failure
67,Random Failures
68,No Failure
69,Random Failures
70,No Failure
71,No Failure
72,Random Failures
73,No Failure
74,Random Failures
75,No Failure
76,No Failure
77,Random Failures
78,No Failure
79,Random Failures
80,No Failure
81,No Failure
82,No Failure
83,No Failure
84,No Failure
85,No Failure
86,No Failure
87,Tool Wear Failure
88,No Failure
89,No Failure
90,No Failure
91,Random Failures
92,Heat Dissipation Failure
93,Random Failures
94,Tool Wear Failure
95,No Failure
96,Tool Wear Failure
97,Random Failures
98,No Failure
99,No Failure
100,No Failure
101,Heat Dissipation Failure
102,Random Failures
103,No Failure
104,No Failure
105,No Failure
106,No Failure
107,Tool Wear Failure
108,No Failure
109,No Failure
110,Random Failures
111,No Failure
112,No Failure
113,No Failure
114,No Failure
115,No Failure
116,No Failure
117,No Failure
118,Tool Wear Failure
119,Random Failures
120,No Failure
121,No Failure
122,No Failure
123,Random Failures
124,Heat Dissipation Failure
125,Tool Wear Failure
126,No Failure
127,No Failure
128,Tool Wear Failure
129,Random Failures
130,No Failure
131,No Failure
132,No Failure
133,No Failure
134,No Failure
135,No Failure
136,No Failure
137,Heat Dissipation Failure
138,No Failure
139,Heat Dissipation Failure
140,No Failure
141,No Failure
142,No Failure
143,Tool Wear Failure
144,No Failure
145,Overstrain Failure
146,Tool Wear Failure
147,No Failure
148,No Failure
149,No Failure
150,No Failure
151,No Failure
152,No Failure
153,Random Failures
154,Tool Wear Failure
155,No Failure
156,Power Failure
157,No Failure
158,Random Failures
159,No Failure
160,Power Failure
161,Random Failures
162,Random Failures
163,Overstrain Failure
164,Random Failures
165,Random Failures
166,No Failure
167,Random Failures
168,No Failure
169,No Failure
170,Overstrain Failure
171,Random Failures
172,No Failure
173,Tool Wear Failure
174,No Failure
175,Tool Wear Failure
176,No Failure
177,No Failure
178,Tool Wear Failure
179,No Failure
180,Random Failures
181,Tool Wear Failure
182,No Failure
183,Random Failures
184,No Failure
185,Random Failures
186,Random Failures
187,Tool Wear Failure
188,Tool Wear Failure
189,No Failure
190,No Failure
191,No Failure
192,No Failure
193,No Failure
194,No Failure
195,No Failure
196,No Failure
197,Random Failures
198,No Failure
199,No Failure
200,Random Failures
201,No Failure
202,No Failure
203,Random Failures
204,No Failure
205,Overstrain Failure
206,No Failure
207,No Failure
208,Tool Wear Failure
209,No Failure
210,No Failure
211,Random Failures
212,Random Failures
213,Tool Wear Failure
214,Overstrain Failure
215,No Failure
216,Random Failures
217,No Failure
218,No Failure
219,Random Failures
220,No Failure
221,No Failure
222,No Failure
223,Random Failures
224,No Failure
225,No Failure
226,No Failure
227,No Failure
228,No Failure
229,Random Failures
230,No Failure
231,No Failure
232,No Failure
233,No Failure
234,No Failure
235,Power Failure
236,Power Failure
237,No Failure
238,No Failure
239,No Failure
240,Random Failures
241,No Failure
242,No Failure
243,No Failure
244,Random Failures
245,No Failure
246,Tool Wear Failure
247,Heat Dissipation Failure
248,Random Failures
249,Heat Dissipation Failure
250,No Failure
251,Random Failures
252,No Failure
253,No Failure
254,No Failure
255,No Failure
256,No Failure
257,No Failure
258,No Failure
259,No Failure
260,Power Failure
261,Random Failures
262,No Failure
263,Random Failures
264,Random Failures
265,Random Failures
266,No Failure
267,No Failure
268,No Failure
269,No Failure
270,No Failure
271,No Failure
272,No Failure
273,Tool Wear Failure
274,Random Failures
275,No Failure
276,Random Failures
277,No Failure
278,No Failure
279,No Failure
280,No Failure
281,Random Failures
282,Random Failures
283,Random Failures
284,No Failure
285,Tool Wear Failure
286,Random Failures
287,Random Failures
288,No Failure
289,No Failure
290,No Failure
291,No Failure
292,No Failure
293,No Failure
294,Random Failures
295,Random Failures
296,No Failure
297,No Failure
298,Random Failures
299,Random Failures
300,No Failure
301,No Failure
302,Random Failures
303,Random Failures
304,Random Failures
305,No Failure
306,Tool Wear Failure
307,No Failure
308,No Failure
309,Random Failures
310,Random Failures
311,No Failure
312,No Failure
313,No Failure
314,No Failure
315,No Failure
316,No Failure
317,Random Failures
318,No Failure
319,No Failure
320,Tool Wear Failure
321,No Failure
322,Tool Wear Failure
323,Random Failures
324,No Failure
325,Random Failures
326,No Failure
327,Random Failures
328,Random Failures
329,No Failure
330,Heat Dissipation Failure
331,No Failure
332,No Failure
333,Heat Dissipation Failure
334,Random Failures
335,No Failure
336,Overstrain Failure
337,No Failure
338,No Failure
339,No Failure
340,No Failure
341,No Failure
342,No Failure
343,Random Failures
344,No Failure
345,No Failure
346,Random Failures
347,Random Failures
348,No Failure
349,No Failure
350,No Failure
351,No Failure
352,Power Failure
353,No Failure
354,Random Failures
355,No Failure
356,No Failure
357,Overstrain Failure
358,No Failure
359,No Failure
360,No Failure
361,Random Failures
362,Tool Wear Failure
363,No Failure
364,Random Failures
365,Random Failures
366,Random Failures
367,No Failure
368,No Failure
369,No Failure
370,Random Failures
371,Tool Wear Failure
372,No Failure
373,Tool Wear Failure
374,No Failure
375,No Failure
376,Random Failures
377,No Failure
378,No Failure
379,No Failure
380,No Failure
381,No Failure
382,No Failure
383,No Failure
384,No Failure
385,Tool Wear Failure
386,No Failure
387,No Failure
388,No Failure
389,Random Failures
390,No Failure
391,Tool Wear Failure
392,No Failure
393,No Failure
